135359337,894111297
135359348
135359376,210411181
135359384
135359386
135359387,757613774
177991221,1899531414
177991238
177994354
177994361
177994364,177994366
177994366
177994369,731804644
178006227
178006230,4282196579,4282196572,4282215189,4282215199
178006231
178020240
178020268,1223933533,312990550
178020359,820083710
178180439,1934650562,1934650567
178180441,2407125512,1731448223
178263728,2407120550
178263729,465702961,2047702290
178263731,1735976178
178263732,2047702300,2479670717
178263734
178263735,2047702279
210295700,210297067
210295706,210297070
210295707
210297067,2291411168
210297070,472823049
210301780
210301793,2131791363
210301795,2131791362
210307188,2291383589
210307192
210321469
210321475
210321480
210321482
210321485
210321760
210322839
210324890,210326483
210325235
210325906
210326483,210325906
210326687
210327201,210324890
210341782,210321475
210379662
210379857
210385476
210389669
210391496,1220905039
210397056
210407801,595691479,1654653655
210407812,1654653656
210410701
210411181,135359376
210415190,894111283
210415569,135359337
210417242,359934987
241543346
241543348,786662964
241543349
241543353
241543359,786662898,786663029
241543368,1245016985
241543371,2681592104
241544010,1502804425,5185274671
241544783
241544786
241544788,3176279137,786662970
241546091,796622360,795322692
241546096,794163039
241546097,241558943
241546104,3304058790
241546112
241548744,5175141028
241549472,5174950203
241549776
241550888
241551033
241553498,241553499
241553499,241553498
241555686,1702468521
241555698,241556605,786663029
241555954,2435384880,3323930567
241556051,786662930
241556201
241556295
241556605,241555698,786662926
241556779,3323930567
241556874,795322826
241556998,795322564
241557516
241557521,2049278799
241557522,807633146
241557682,795322508
241557945,807633146
241557947,796622344,241544783
241558943,241546097,1223934158
241558945
241563255
241563256
241563258
241563531
241563533,241563255
241568187
241568188
241568530,241568531
241568531
241573949
241573954
241573956,959460456
241573959,2352110303
241575084,241573949
241578174
241578539
241583420
241583429
241584745
241585504
241585506,241587109,2131787631
241585584,241586090
241585739
241585743
241585907,345339958
241586090,465681548
241587033,478870812
241587035
241587109,241585506
241588150
241592496,688507974
241592508
241592510,4658456583
241592515
241592519
241862913
241862914
241863142,3081179963
241863220,766985538
241863230,410815427
241863299
241863601,2291383604
241863604
241863618
241863629
242920864
242920927
242920929
242920931
242920933,1217130372
242920935
242921028
242921125
242921326,410228412
242921337,473371879
242921340,345683351
242921662,847580977
242921664
242921666
242921667
242921668,242921677
242921676,2131791375
242921677,242921668
242922150
242922151
242922154
242922162
242922163,873829626,873829638
242922904
242922928
242922931
242922935
242922941
242922947
242924129
242924130
242924136
242924165
242924697
242924705,1246523584
247142888
247145582,241544786
247148006,786662898,786662661
247148007,1178869208,786662510,786662878
247148011
247149261
259826161
278743683
278744317
288473100
288473104,617108045,1884744335
288473124,771642254
299222383
299222396,1142065220
305370603,5406392729,5406392730,5406392732,3504721545
305371730,2459760422
305553616
305553622,1074998977,2436135523,2394989268
305553632,726939395
305553636,305553639
305553639
305553642,305553643
305553643,927668082
312978224,312978226
312978226,312978224
312978481
312978501
312978503,312978539
312978539,312978503
